Store Number,Store Type,Display Name,Address,City,State,Zip Code,Country,Phone Number,Store Hours,Pharmacy Phone Number,Pharmacy Hours,Services,Vision Phone Number,Photo Phone Number,Tire Phone Number,Latitude,Longitude
12,1,Walmart Supercenter,1500 S Lynn Riggs Blvd,Claremore,OK,74017,US,(918) 341-2765,Mon - Sun:12:00 a.m.-12:00 a.m.,(918) 341-5181,Mon - Fri:9:00 a.m.-9:00 p.m. Sat:9:00 a.m.-7:00 p.m. Sun:10:00 a.m.-6:00 p.m.,Beer | Open_24_Hours | Portrait_Studio | L_E_I_Apparel | Connection_Center | Gas_Station | Tire_And_Lube | Coinstar | Bill_Payment | Bluebird_By_American_Express | Check_Cashing | Money_Center | Money_Order | Money_Transfer | Rcb_Bank | Walmart_Moneycard | Garden_Center | Grocery | Deli | Bakery | Pharmacy | Immunizations | Photo_Center_One_Hour | Photo_Center | Photo_Center_Same_Day_Pickup | Pay_In_Person | Site_2_Store | Pick_Up_Today | Jackson_Hewitt |,,(918) 342-9181,(918) 342-9131,36.294097,-95.62745599
13,1,Walmart Supercenter,2705 Grand Ave,Carthage,MO,64836,US,(417) 358-3000,Mon - Sun:12:00 a.m.-12:00 a.m.,(417) 358-8839,Mon - Fri:9:00 a.m.-9:00 p.m. Sat:9:00 a.m.-7:00 p.m. Sun:10:00 a.m.-6:00 p.m.,Beer | Wine | Spirits | Open_24_Hours | L_E_I_Apparel | Connection_Center | Gas_Station | Tire_And_Lube | Coinstar | Arvest_Bank | Bill_Payment | Bluebird_By_American_Express | Check_Cashing | Money_Order | Money_Transfer | Walmart_Moneycard | Garden_Center | Grocery | Deli | Bakery | Pharmacy | Vision_Center | Immunizations | Photo_Center_One_Hour | Photo_Center | Photo_Center_Same_Day_Pickup | Pay_In_Person | Site_2_Store | Pick_Up_Today | Liberty_Tax |,(417) 358-1203,(417) 358-1197,(417) 358-1159,37.14178799,-94.312545
14,1,Walmart Supercenter,1800 S Jefferson Ave,Lebanon,MO,65536,US,(417) 588-2268,Mon - Sun:12:00 a.m.-12:00 a.m.,(417) 532-7148,Mon - Fri:9:00 a.m.-9:00 p.m. Sat:9:00 a.m.-7:00 p.m. Sun:10:00 a.m.-6:00 p.m.,Beer | Wine | Spirits | Open_24_Hours | Portrait_Studio | L_E_I_Apparel | Connection_Center | Tire_And_Lube | Coinstar | Bill_Payment | Bluebird_By_American_Express | Central_Bank | Check_Cashing | Money_Order | Money_Transfer | Walmart_Moneycard | Garden_Center | Grocery | Deli | Bakery | Pharmacy | Vision_Center | Immunizations | Photo_Center_One_Hour | Photo_Center | Photo_Center_Same_Day_Pickup | Pay_In_Person | Site_2_Store | Pick_Up_Today | Jackson_Hewitt |,(417) 533-5466,(417) 533-7339,(417) 533-7882,37.66313441,-92.64939285
15,1,Walmart Supercenter,1310 Preacher Roe Blvd,West Plains,MO,65775,US,(417) 257-2800,Mon - Sun:12:00 a.m.-12:00 a.m.,(417) 256-7114,Mon - Fri:8:00 a.m.-9:00 p.m. Sat:9:00 a.m.-7:00 p.m. Sun:10:00 a.m.-6:00 p.m.,Beer | Wine | Spirits | Open_24_Hours | Portrait_Studio | L_E_I_Apparel | Connection_Center | Gas_Station | Tire_And_Lube | Coinstar | Bill_Payment | Bluebird_By_American_Express | Check_Cashing | Money_Order | Money_Transfer | Walmart_Moneycard | Wood_And_Huston_Bank | Garden_Center | Grocery | Deli | Bakery | Pharmacy | Vision_Center | Immunizations | Photo_Center_One_Hour | Photo_Center | Photo_Center_Same_Day_Pickup | Pay_In_Person | Site_2_Store | Pick_Up_Today |,(417) 257-2807,(417) 257-2806,(417) 257-2805,36.71497553,-91.87405273
16,1,Walmart Supercenter,2214 Fayetteville Rd,Van Buren,AR,72956,US,(479) 474-2314,Mon - Sun:12:00 a.m.-12:00 a.m.,(479) 474-5051,Mon - Fri:9:00 a.m.-9:00 p.m. Sat:9:00 a.m.-7:00 p.m. Sun:10:00 a.m.-6:00 p.m.,Open_24_Hours | Portrait_Studio | L_E_I_Apparel | Connection_Center | Gas_Station | Tire_And_Lube | Coinstar | Arvest_Bank | Bill_Payment | Bluebird_By_American_Express | Check_Cashing | Money_Order | Money_Transfer | Walmart_Moneycard | Garden_Center | Grocery | Deli | Bakery | Pharmacy | Vision_Center | Immunizations | Photo_Center_One_Hour | Photo_Center | Photo_Center_Same_Day_Pickup | Pay_In_Person | Site_2_Store | Pick_Up_Today | Jackson_Hewitt |,(479) 410-3811,(479) 410-3810,(479) 410-3824,35.469093,-94.35382799
17,1,Walmart Supercenter,3200 Lusk Dr,Neosho,MO,64850,US,(417) 451-5544,Mon - Sun:12:00 a.m.-12:00 a.m.,(417) 451-1177,Mon - Fri:9:00 a.m.-9:00 p.m. Sat:9:00 a.m.-7:00 p.m. Sun:10:00 a.m.-6:00 p.m.,Beer | Wine | Spirits | Open_24_Hours | Portrait_Studio | L_E_I_Apparel | Connection_Center | Gas_Station | Tire_And_Lube | Coinstar | Arvest_Bank | Bill_Payment | Bluebird_By_American_Express | Check_Cashing | Money_Order | Money_Transfer | Walmart_Moneycard | Garden_Center | Grocery | Deli | Bakery | Pharmacy | Vision_Center | Immunizations | Photo_Center_One_Hour | Photo_Center | Photo_Center_Same_Day_Pickup | Pay_In_Person | Site_2_Store | Pick_Up_Today | Jackson_Hewitt |,(417) 451-1119,(417) 451-5666,(417) 451-4499,36.83875612,-94.39470961
18,2,Walmart,1211 Highway 367 N,Newport,AR,72112,US,(870) 523-2500,Mon - Sun:6:00 a.m.-11:00 p.m.,(870) 523-2383,Mon - Fri:9:00 a.m.-9:00 p.m. Sat:9:00 a.m.-7:00 p.m. Sun:10:00 a.m.-6:00 p.m.,Beer | Wine | L_E_I_Apparel | Tire_And_Lube | Coinstar | Bill_Payment | Bluebird_By_American_Express | Check_Cashing | Money_Order | Money_Transfer | Walmart_Moneycard | Garden_Center | Deli | Bakery | Pharmacy | Immunizations | Photo_Center_One_Hour | Photo_Center | Photo_Center_Same_Day_Pickup | Pay_In_Person | Site_2_Store | Pick_Up_Today |,,(870) 523-6381,(870) 523-4409,35.61653114,-91.25192239
19,1,Walmart Supercenter,333 S Westwood Blvd,Poplar Bluff,MO,63901,US,(573) 686-6420,Mon - Sun:12:00 a.m.-12:00 a.m.,(573) 686-6539,Mon - Fri:9:00 a.m.-9:00 p.m. Sat:9:00 a.m.-7:00 p.m. Sun:10:00 a.m.-6:00 p.m.,Beer | Wine | Spirits | Open_24_Hours | Portrait_Studio | L_E_I_Apparel | Connection_Center | Tire_And_Lube | Coinstar | Bill_Payment | Bluebird_By_American_Express | Check_Cashing | First_Midwest_Bank | Money_Order | Money_Transfer | Walmart_Moneycard | Garden_Center | Grocery | Deli | Bakery | Pharmacy | Vision_Center | Immunizations | Photo_Center_One_Hour | Photo_Center | Photo_Center_Same_Day_Pickup | Pay_In_Person | Site_2_Store | Pick_Up_Today |,(573) 785-2853,(573) 686-6783,(573) 686-6518,36.7554789,-90.40824294
20,1,Walmart Supercenter,1712 E Ohio St,Clinton,MO,64735,US,(660) 885-5536,Mon - Sun:12:00 a.m.-12:00 a.m.,(660) 890-2587,Mon - Fri:9:00 a.m.-9:00 p.m. Sat:9:00 a.m.-7:00 p.m. Sun:10:00 a.m.-6:00 p.m.,Beer | Wine | Spirits | Open_24_Hours | L_E_I_Apparel | Connection_Center | Tire_And_Lube | Coinstar | Bill_Payment | Bluebird_By_American_Express | Check_Cashing | Hawthorn_Bank | Money_Order | Money_Transfer | Walmart_Moneycard | Garden_Center | Grocery | Deli | Bakery | Pharmacy | Vision_Center | Immunizations | Photo_Center_One_Hour | Photo_Center | Photo_Center_Same_Day_Pickup | Pay_In_Person | Site_2_Store | Pick_Up_Today | Jackson_Hewitt |,(660) 890-2594,(660) 890-2593,(660) 890-2592,38.36614474,-93.74925881
21,1,Walmart Supercenter,185 Saint Robert Blvd,Saint Robert,MO,65584,US,(573) 336-5103,Mon - Sun:12:00 a.m.-12:00 a.m.,(573) 336-4323,Mon - Fri:9:00 a.m.-9:00 p.m. Sat:9:00 a.m.-7:00 p.m. Sun:10:00 a.m.-6:00 p.m.,Beer | Wine | Spirits | Open_24_Hours | Portrait_Studio | L_E_I_Apparel | Connection_Center | Tire_And_Lube | Coinstar | Bill_Payment | Bluebird_By_American_Express | Check_Cashing | Money_Center | Money_Order | Money_Transfer | Walmart_Moneycard | Garden_Center | Grocery | Deli | Bakery | Pharmacy | Vision_Center | Immunizations | Photo_Center_One_Hour | Photo_Center | Pay_In_Person | Site_2_Store | Pick_Up_Today | Jackson_Hewitt |,(573) 336-7407,(573) 336-7607,(573) 336-7610,37.82376989,-92.15206973
22,1,Walmart Supercenter,4901 S Mill St,Pryor,OK,74361,US,(918) 825-6000,Mon - Sun:12:00 a.m.-12:00 a.m.,(918) 825-3663,Mon - Fri:9:00 a.m.-9:00 p.m. Sat:9:00 a.m.-7:00 p.m. Sun:10:00 a.m.-6:00 p.m.,Beer | Open_24_Hours | Portrait_Studio | L_E_I_Apparel | Connection_Center | Gas_Station | Tire_And_Lube | Coinstar | Arvest_Bank | Bill_Payment | Bluebird_By_American_Express | Check_Cashing | Money_Order | Money_Transfer | Walmart_Moneycard | Garden_Center | Grocery | Deli | Bakery | Pharmacy | Immunizations | Photo_Center_One_Hour | Photo_Center | Pay_In_Person | Site_2_Store | Pick_Up_Today | Jackson_Hewitt |,,(918) 824-2143,(918) 825-1143,36.26373812,-95.33290408
23,1,Walmart Supercenter,1201 N Service Rd E,Ruston,LA,71270,US,(318) 251-1168,Mon - Sun:12:00 a.m.-12:00 a.m.,(318) 251-0392,Mon - Fri:9:00 a.m.-9:00 p.m. Sat:9:00 a.m.-7:00 p.m. Sun:10:00 a.m.-6:00 p.m.,Beer | Open_24_Hours | Portrait_Studio | L_E_I_Apparel | Connection_Center | Gas_Station | Tire_And_Lube | Coinstar | Bill_Payment | Bluebird_By_American_Express | Check_Cashing | Money_Order | Money_Transfer | Walmart_Moneycard | Woodforest_Bank | Garden_Center | Grocery | Deli | Bakery | Pharmacy | Vision_Center | Immunizations | Photo_Center_One_Hour | Photo_Center | Photo_Center_Same_Day_Pickup | Pay_In_Person | Site_2_Store | Pick_Up_Today |,(318) 251-2650,(318) 251-2856,(318) 251-1360,32.54075489,-92.62269414
24,1,Walmart Supercenter,2000 John Harden Dr,Jacksonville,AR,72076,US,(501) 985-8731,Mon - Tue:12:00 a.m.-12:00 a.m. Wed:12:00 a.m.-8:00 p.m. Thu:5:00 a.m.-12:00 a.m. Fri - Sun:12:00 a.m.-12:00 a.m.,(501) 982-3357,Mon - Fri:9:00 a.m.-9:00 p.m. Sat:9:00 a.m.-7:00 p.m. Sun:10:00 a.m.-6:00 p.m.,Portrait_Studio | L_E_I_Apparel | Connection_Center | Tire_And_Lube | Coinstar | Bill_Payment | Bluebird_By_American_Express | Check_Cashing | First_Arkansas_Bank_And_Trust | Money_Center | Money_Order | Money_Transfer | Walmart_Moneycard | Garden_Center | Grocery | Deli | Bakery | Pharmacy | Vision_Center | Immunizations | Photo_Center_One_Hour | Photo_Center | Photo_Center_Same_Day_Pickup | Pay_In_Person | Site_2_Store | Pick_Up_Today | Jackson_Hewitt |,(501) 985-1204,(501) 985-6671,(501) 985-1811,34.88533699,-92.11180799
25,1,Walmart Supercenter,4820 S Clark St,Mexico,MO,65265,US,(573) 581-4500,Mon - Sun:12:00 a.m.-12:00 a.m.,(573) 581-2600,Mon - Fri:9:00 a.m.-9:00 p.m. Sat:9:00 a.m.-7:00 p.m. Sun:10:00 a.m.-6:00 p.m.,Beer | Wine | Spirits | Open_24_Hours | Portrait_Studio | L_E_I_Apparel | Connection_Center | Gas_Station | Tire_And_Lube | Coinstar | Bill_Payment | Bluebird_By_American_Express | Check_Cashing | Money_Order | Money_Transfer | Walmart_Moneycard | Garden_Center | Grocery | Deli | Bakery | Pharmacy | Vision_Center | Immunizations | Photo_Center_One_Hour | Photo_Center | Pay_In_Person | Site_2_Store | Pick_Up_Today | Jackson_Hewitt |,(573) 581-8639,(573) 581-8650,(573) 581-6005,39.12049658,-91.89366638
26,1,Walmart Supercenter,5000 10Th Ave,Leavenworth,KS,66048,US,(913) 250-0182,Mon - Sun:12:00 a.m.-12:00 a.m.,(913) 250-0918,Mon - Fri:9:00 a.m.-9:00 p.m. Sat:9:00 a.m.-7:00 p.m. Sun:10:00 a.m.-6:00 p.m.,Beer | Open_24_Hours | Portrait_Studio | L_E_I_Apparel | Connection_Center | Tire_And_Lube | Coinstar | Bill_Payment | Bluebird_By_American_Express | Check_Cashing | Money_Order | Money_Transfer | Walmart_Moneycard | Garden_Center | Grocery | Deli | Bakery | Pharmacy | Vision_Center | Immunizations | Photo_Center_One_Hour | Photo_Center | Photo_Center_Same_Day_Pickup | Pay_In_Person | Site_2_Store | Pick_Up_Today | Jackson_Hewitt |,(913) 250-0934,(913) 250-0981,(913) 250-0848,39.26878299,-94.93054899
27,1,Walmart Supercenter,1101 W Highway 32,Salem,MO,65560,US,(573) 729-6151,Mon - Sun:12:00 a.m.-12:00 a.m.,(573) 729-4131,Mon - Fri:9:00 a.m.-9:00 p.m. Sat:9:00 a.m.-7:00 p.m. Sun:10:00 a.m.-6:00 p.m.,Beer | Wine | Spirits | Open_24_Hours | L_E_I_Apparel | Connection_Center | Bill_Payment | Bluebird_By_American_Express | Check_Cashing | Money_Order | Money_Transfer | Walmart_Moneycard | Garden_Center | Grocery | Deli | Pharmacy | Vision_Center | Immunizations | Photo_Center_One_Hour | Photo_Center | Photo_Center_Same_Day_Pickup | Pay_In_Person | Site_2_Store | Pick_Up_Today |,(573) 729-2076,(573) 729-4221,,37.63653963,-91.56633362
28,1,Walmart Supercenter,2415 N Main St,Miami,OK,74354,US,(918) 542-6654,Mon - Sun:12:00 a.m.-12:00 a.m.,(918) 542-8429,Mon - Fri:9:00 a.m.-9:00 p.m. Sat:9:00 a.m.-7:00 p.m. Sun:10:00 a.m.-6:00 p.m.,Beer | Open_24_Hours | Portrait_Studio | L_E_I_Apparel | Connection_Center | Gas_Station | Tire_And_Lube | Coinstar | Bill_Payment | Bluebird_By_American_Express | Check_Cashing | City_National_Bank | Money_Center | Money_Order | Money_Transfer | Walmart_Moneycard | Garden_Center | Grocery | Deli | Bakery | Pharmacy | Immunizations | Photo_Center_One_Hour | Photo_Center | Pay_In_Person | Site_2_Store | Pick_Up_Today |,,(918) 542-8152,(918) 542-8046,36.904533,-94.87975299
29,1,Walmart Supercenter,724 Stadium West Blv,Jefferson City,MO,65109,US,(573) 635-8283,Mon - Sun:12:00 a.m.-12:00 a.m.,(573) 635-8384,Mon - Fri:9:00 a.m.-9:00 p.m. Sat:9:00 a.m.-7:00 p.m. Sun:10:00 a.m.-6:00 p.m.,Beer | Wine | Spirits | Open_24_Hours | Portrait_Studio | L_E_I_Apparel | Connection_Center | Tire_And_Lube | Coinstar | Bill_Payment | Bluebird_By_American_Express | Central_National_Bank | Check_Cashing | Money_Order | Money_Transfer | Walmart_Moneycard | Garden_Center | Grocery | Deli | Bakery | Pharmacy | Vision_Center | Immunizations | Photo_Center_One_Hour | Photo_Center | Photo_Center_Same_Day_Pickup | Pay_In_Person | Site_2_Store | Pick_Up_Today | Jackson_Hewitt |,(573) 635-9024,(573) 635-8461,(573) 635-8460,38.58005142,-92.21881103
30,1,Walmart Supercenter,2025 W Business Us Highway 60,Dexter,MO,63841,US,(573) 624-5514,Mon - Sun:12:00 a.m.-12:00 a.m.,(573) 624-5967,Mon - Fri:9:00 a.m.-9:00 p.m. Sat:9:00 a.m.-7:00 p.m. Sun:10:00 a.m.-6:00 p.m.,Beer | Wine | Spirits | Open_24_Hours | L_E_I_Apparel | Connection_Center | Gas_Station | Tire_And_Lube | Bill_Payment | Bluebird_By_American_Express | Check_Cashing | Money_Order | Money_Transfer | Walmart_Moneycard | Garden_Center | Grocery | Deli | Bakery | Pharmacy | Vision_Center | Clinicatwalmart | Immunizations | Photo_Center_One_Hour | Photo_Center | Photo_Center_Same_Day_Pickup | Pay_In_Person | Site_2_Store | Pick_Up_Today |,(573) 624-6728,(573) 624-6886,(573) 624-1886,36.80366897,-89.99228668
31,1,Walmart Supercenter,3108 N Broadway St,Poteau,OK,74953,US,(918) 647-5040,Mon - Sun:12:00 a.m.-12:00 a.m.,(918) 647-2641,Mon - Fri:9:00 a.m.-9:00 p.m. Sat:9:00 a.m.-7:00 p.m. Sun:10:00 a.m.-6:00 p.m.,Beer | Open_24_Hours | Portrait_Studio | L_E_I_Apparel | Connection_Center | Gas_Station | Tire_And_Lube | Coinstar | Bill_Payment | Bluebird_By_American_Express | Check_Cashing | Money_Order | Money_Transfer | The_Community_State_Bank | Walmart_Moneycard | Garden_Center | Grocery | Deli | Bakery | Pharmacy | Immunizations | Photo_Center_One_Hour | Photo_Center | Photo_Center_Same_Day_Pickup | Pay_In_Person | Site_2_Store | Pick_Up_Today | Jackson_Hewitt |,,(918) 647-9919,(918) 647-8005,35.09105019,-94.63115572
32,2,Walmart,2050 West Hwy 76,Branson,MO,65616,US,(417) 334-5005,Mon - Sun:12:00 a.m.-12:00 a.m.,(417) 334-7181,Mon - Fri:8:00 a.m.-8:00 p.m. Sat:9:00 a.m.-7:00 p.m. Sun:10:00 a.m.-6:00 p.m.,Beer | Wine | Spirits | Open_24_Hours | L_E_I_Apparel | Connection_Center | Tire_And_Lube | Bill_Payment | Bluebird_By_American_Express | Check_Cashing | Money_Order | Money_Transfer | Walmart_Moneycard | Garden_Center | Pharmacy | Immunizations | Photo_Center_One_Hour | Photo_Center | Pay_In_Person | Site_2_Store | Pick_Up_Today | Jackson_Hewitt |,,(417) 334-0465,(417) 334-6232,36.64074003,-93.25971946
33,1,Walmart Supercenter,1710 S 4Th St,Nashville,AR,71852,US,(870) 845-1881,Mon - Sun:12:00 a.m.-12:00 a.m.,(870) 845-1573,Mon - Sat:9:00 a.m.-7:00 p.m. Sun:10:00 a.m.-6:00 p.m.,Open_24_Hours | L_E_I_Apparel | Connection_Center | Gas_Station | Tire_And_Lube | Coinstar | Bill_Payment | Bluebird_By_American_Express | Check_Cashing | Money_Order | Money_Transfer | Walmart_Moneycard | Garden_Center | Grocery | Deli | Pharmacy | Immunizations | Photo_Center_One_Hour | Photo_Center | Pay_In_Person | Site_2_Store | Pick_Up_Today |,,(870) 845-1408,(870) 845-4792,33.92393186,-93.85582096
